model_name,popularity,best_price,highest_price,screen_size,memory_size,battery_size,release_date
Galaxy Note 9 N960 8/512GB Lavender Purple,123,20948.0,21871.0,6.4,512.0,4000.0,2370
Galaxy Note 9 N960 8/512GB Lavender Purple,114,20948.0,21871.0,6.4,512.0,4000.0,2370
Galaxy Note 9 N960 8/512GB Metallic Copper,813,16076.0,21366.0,6.4,512.0,4000.0,2401
Galaxy Note 9 N960 8/512GB Midnight Black,992,17585.0,23770.0,6.4,512.0,4000.0,2401
Galaxy Note 9 N960 8/512GB Ocean Blue (SM-N960FZBH),714,17540.0,35999.0,6.4,512.0,4000.0,2401
Galaxy Note10 Lite SM-N770F Dual 6/128GB Black (SM-N770FZKD),1182,11405.0,13999.0,6.7,128.0,4500.0,1883
Galaxy Note10 Lite SM-N770F Dual 8/128GB Black (SM-N770FZKU),915,12169.0,13098.0,6.7,128.0,4500.0,1823
Galaxy Note20 5G N9810 8/256GB Mystic Gray,956,21175.0,22949.0,6.7,256.0,4300.0,1639
Galaxy Note20 5G SM-N981B 8/256GB Mystic Bronze,730,21222.0,28270.0,6.7,256.0,4300.0,1670
Galaxy Note20 SM-N980F 8/256GB Mystic Green (SM-N980FZGG),1080,22670.0,30778.0,6.7,256.0,4300.0,1670
Galaxy Note20 Ultra 5G SM-N9860 12/256GB Mystic Black,1146,30008.0,34505.0,6.9,256.0,4500.0,1639
Galaxy Note20 Ultra 5G SM-N986B 12/256GB Mystic Black,1013,28896.0,34640.0,6.9,256.0,4500.0,1670
Galaxy Note20 Ultra 5G SM-N986B 12/512GB Mystic Black (SM-N986BZKH),800,39524.0,41999.0,6.9,512.0,4500.0,1670
Galaxy Note20 Ultra SM-N985F 8/256GB Mystic Bronze (SM-N985FZNG),1147,32669.0,35999.0,6.9,256.0,4500.0,1670
Galaxy S10 Lite SM-G770 6/128GB Black (SM-G770FZKG),1190,14079.0,15469.0,6.7,128.0,4500.0,1883
Galaxy S10 Lite SM-G770 8/128GB Black,1054,14654.0,16476.0,6.7,128.0,4500.0,1823
Galaxy S10 SM-G973 DS 128GB Green (SM-G973FZGD),1199,17561.0,18999.0,6.1,128.0,3400.0,2217
Galaxy S10 SM-G973 DS 512GB Black,198,21229.0,23261.0,6.1,512.0,3400.0,2217
Galaxy S10 SM-G9730 DS 128GB Black,861,19123.0,20510.0,6.1,128.0,3400.0,2217
Galaxy S10+ SM-G975 DS 128GB Black (SM-G975FZKD),1180,17860.0,23218.0,6.4,128.0,4000.0,2217
Galaxy S10+ SM-G975 DS 1TB Black (SM-G975FCKH),847,22932.0,47292.0,6.4,1000.0,4000.0,2217
Galaxy S10+ SM-G975 DS 1TB Ceramic White (SM-G975FCWH),795,23137.0,47292.0,6.4,1000.0,4000.0,2217
Galaxy S10+ SM-G975 DS 512GB Black (SM-G975FCKG),910,21304.0,39999.0,6.4,512.0,4000.0,2217
Galaxy S10+ SM-G975 DS 512GB White (SM-G975FCWG),828,19878.0,33999.0,6.4,512.0,4000.0,2217
Galaxy S10+ SM-G9750 DS 128GB Black,817,20044.0,20999.0,6.4,128.0,4000.0,2217
Galaxy S10+ SM-G9750 DS 128GB Black,815,20044.0,20999.0,6.4,128.0,4000.0,2217
Galaxy S10+ SM-G9750 DS 1TB Black,66,21454.0,21954.0,6.4,1000.0,4000.0,2217
Galaxy S10e SM-G970 DS 128GB Black (SM-G970FZKD),1122,16313.0,17499.0,5.8,128.0,3100.0,2217
Galaxy S20 5G SM-G9810 12/128GB Cloud Pink,1034,22846.0,24453.0,6.2,128.0,4000.0,1762
Galaxy S20 FE 5G SM-G7810 8/128GB Cloud Navy,1181,17390.0,18499.0,6.5,128.0,4500.0,1609
Galaxy S20 FE 5G SM-G7810 Dual 8/256GB Cloud Navy,913,21157.0,22116.0,6.5,256.0,4500.0,1517
Galaxy S20 FE 5G SM-G781B 6/128GB Cloud Red,964,17332.0,18017.0,6.5,128.0,4500.0,1548
Galaxy S20 FE SM-G780F 6/128GB Blue (SM-G780FZBD),1197,17631.0,21724.0,6.5,128.0,4500.0,1639
Galaxy S20 FE SM-G780F 6/256GB Cloud Navy,439,20513.0,22449.0,6.5,256.0,4500.0,1548
Galaxy S20 FE SM-G780F 8/128GB Cloud Navy,899,16396.0,18187.0,6.5,128.0,4500.0,1578
Galaxy S20 FE SM-G780F 8/256GB Blue (SM-G780FZBH),982,19215.0,23228.0,6.5,256.0,4500.0,1578
Galaxy S20 SM-G980 8/128GB Grey (SM-G980FZAD),1210,21011.0,29432.0,6.2,128.0,4000.0,1852
Galaxy S20 Ultra 5G SM-G9880 12/256GB Cosmic Gray,933,29175.0,31780.0,6.9,256.0,5000.0,1762
Galaxy S20 Ultra 5G SM-G988B 12/128GB Black,984,27461.0,34999.0,6.9,128.0,5000.0,1762
Galaxy S20 Ultra SM-G988 128GB Grey (SM-G988BZAD),1114,32806.0,42127.0,6.9,128.0,5000.0,1852
Galaxy S20+ 5G SM-G9860 12/128GB Cosmic Black,1130,23302.0,25183.0,6.9,128.0,4500.0,1792
Galaxy S20+ 5G SM-G9860 8/128GB Gray,192,24843.0,25318.0,6.7,128.0,4500.0,1762
Galaxy S20+ 5G SM-G9860 8/128GB Gray,226,24843.0,25318.0,6.7,128.0,4500.0,1762
Galaxy S20+ 5G SM-G986B 12/128GB Black,321,21905.0,22572.0,6.7,128.0,4500.0,1609
Galaxy S20+ 5G SM-G986F-DS 12/128GB Black,1011,21326.0,23321.0,6.7,128.0,4500.0,1852
Galaxy S20+ LTE SM-G985 Dual 8/128GB Black (SM-G985FZKD),1070,24160.0,27138.0,6.7,128.0,4500.0,1852
Galaxy S21 8/128GB Phantom Grey (SM-G991BZADSEK),1175,26751.0,27655.0,6.2,128.0,4000.0,1517
Galaxy S21 8/256GB Phantom Grey (SM-G991BZAGSEK),1004,28876.0,29210.0,6.2,256.0,4000.0,1517
Galaxy S21 Ultra 12/128GB Phantom Black (SM-G998BZKDSEK),1104,37630.0,40559.0,6.8,128.0,5000.0,1517
Galaxy S21 Ultra 12/256GB Phantom Black (SM-G998BZKGSEK),1164,39620.0,42127.0,6.8,256.0,5000.0,1517
Galaxy S21 Ultra 16/512GB Phantom Black (SM-G998BZKHSEK),1136,42649.0,43999.0,6.8,512.0,5000.0,1517
Galaxy S21+ 8/128GB Phantom Black (SM-G996BZKDSEK),979,31574.0,33601.0,6.7,128.0,4800.0,1517
Galaxy S21+ 8/256GB Phantom Black (SM-G996BZKGSEK),1006,33443.0,33999.0,6.7,256.0,4800.0,1517
Galaxy S7 G930F 32GB (Gold),685,7782.0,8225.0,5.1,32.0,3000.0,3253
Galaxy S8 64GB Blue,908,7864.0,8089.0,5.8,64.0,3000.0,2919
Galaxy S8+ 64GB Black (SM-G955FZKD),871,10787.0,12898.0,6.2,64.0,3500.0,2919
